drug_name,num_prescriber,total_cost
LATUDA ,  104040.59 , 104040.59
INVEGA SUSTENNA ,  75345.68 , 75345.68
VALGANCICLOVIR HCL ,  46708.89 , 46708.89
LANTUS ,  40247.45 , 40247.45
GAMUNEX-C ,  39561.45 , 39561.45
ABILIFY ,  36902.45 , 36902.45
WELLBUTRIN XL ,  36671.74 , 36671.74
SEROQUEL XR ,  33104.508 , 33104.508
FINASTERIDE ,  30503.42 , 30503.42
VESICARE ,  28259.73 , 28259.73
ZYPREXA ,  27758.25 , 27758.25
CHLORPROMAZINE HCL ,  26826.62 , 26826.62
ADVAIR DISKUS ,  22029.281 , 22029.281
LIDODERM ,  20096.81 , 20096.81
CRESTOR ,  19234.9 , 19234.9
DIVALPROEX SODIUM ER ,  16105.529 , 16105.529
TAMSULOSIN HCL ,  15054.88 , 15054.88
VYVANSE ,  14688.3 , 14688.3
COMBIGAN ,  14335.119 , 14335.119
SPIRIVA ,  14218.9 , 14218.9
HUMALOG ,  13719.11 , 13719.11
XANAX ,  13058.1 , 13058.1
FETZIMA ,  12320.7 , 12320.7
FANAPT ,  11967.55 , 11967.55
NAMENDA XR ,  11104.65 , 11104.65
DUREZOL ,  10983.4 , 10983.4
JANUVIA ,  10765.61 , 10765.61
STRATTERA ,  10313.46 , 10313.46
LUMIGAN ,  10157.95 , 10157.95
PREDNISOLONE ACETATE ,  9968.24 , 9968.24
TAMIFLU ,  9946.68 , 9946.68
QUETIAPINE FUMARATE ,  9423.17 , 9423.17
CLOMIPRAMINE HCL ,  8886.79 , 8886.79
ARIPIPRAZOLE ,  8374.44 , 8374.44
ILEVRO ,  8085.72 , 8085.72
TOFRANIL ,  7948.98 , 7948.98
AGGRENOX ,  7437.25 , 7437.25
METOPROLOL SUCCINATE ,  7431.45 , 7431.45
PRISTIQ ER ,  7056.32 , 7056.32
BETHANECHOL CHLORIDE ,  6981.35 , 6981.35
NAMENDA ,  6874.9 , 6874.9
HYDROCODONE-ACETAMINOPHEN ,  6778.3804 , 6778.3804
NEXIUM ,  6587.36 , 6587.36
TRAVATAN Z ,  6286.2197 , 6286.2197
CLOZAPINE ,  6275.67 , 6275.67
VIGAMOX ,  6001.78 , 6001.78
GABAPENTIN ,  5794.16 , 5794.16
RISPERIDONE ,  5629.0703 , 5629.0703
PREMARIN ,  5618.04 , 5618.04
